student_id,ports
604917650,12250 12251 12252 12253 12254
404927155,12570 12571 12572 12573 12574
305104425,12195 12196 12197 12198 12199
304907539,12345 12346 12347 12348 12349
005097266,11970 11971 11972 11973 11974
405098891,11755 11756 11757 11758 11759
705199445,12210 12211 12212 12213 12214
304938338,12300 12301 12302 12303 12304
005108972,12265 12266 12267 12268 12269
905187210,12485 12486 12487 12488 12489
005104177,11665 11666 11667 11668 11669
705111075,11710 11711 11712 11713 11714
405176266,11400 11401 11402 11403 11404
304972563,11455 11456 11457 11458 11459
504822474,12400 12401 12402 12403 12404
305099495,11810 11811 11812 11813 11814
705120273,12090 12091 12092 12093 12094
905101320,12545 12546 12547 12548 12549
704970642,12330 12331 12332 12333 12334
305082206,11675 11676 11677 11678 11679
605111090,11775 11776 11777 11778 11779
505103854,11735 11736 11737 11738 11739
305110474,11575 11576 11577 11578 11579
705180083,11895 11896 11897 11898 11899
105158594,11865 11866 11867 11868 11869
805322044,11595 11596 11597 11598 11599
104923663,12310 12311 12312 12313 12314
805355421,12285 12286 12287 12288 12289
704800126,11925 11926 11927 11928 11929
104977892,11955 11956 11957 11958 11959
904733541,12580 12581 12582 12583 12584
605098442,12245 12246 12247 12248 12249
605186231,11515 11516 11517 11518 11519
404982180,12020 12021 12022 12023 12024
604981556,12590 12591 12592 12593 12594
904064791,11870 11871 11872 11873 11874
005084947,11940 11941 11942 11943 11944
005186314,11480 11481 11482 11483 11484
705355011,11520 11521 11522 11523 11524
305366403,12350 12351 12352 12353 12354
105347991,11980 11981 11982 11983 11984
804938473,12065 12066 12067 12068 12069
405098872,12440 12441 12442 12443 12444
805113516,11685 11686 11687 11688 11689
905141316,11900 11901 11902 11903 11904
903814010,12165 12166 12167 12168 12169
304965058,12000 12001 12002 12003 12004
905203248,12055 12056 12057 12058 12059
604929653,12215 12216 12217 12218 12219
605110062,11435 11436 11437 11438 11439
804962948,12060 12061 12062 12063 12064
505084209,12180 12181 12182 12183 12184
505366341,11680 11681 11682 11683 11684
304985768,11995 11996 11997 11998 11999
